# r f(r)
# r f0 f1 f2 exact1 exact2
0.3 0.436903 -0.158725 -0.141858 0.444491 0.155196 
0.6 0.650139 -0.225751 -0.199281 0.658574 0.220012 
0.9 0.725585 -0.230083 -0.197873 0.731825 0.223181 
1.2 0.71981 -0.193524 -0.157838 0.722866 0.186273 
1.5 0.669451 -0.132248 -0.0948824 0.66939 0.125255 
1.8 0.59771 -0.0580497 -0.0209956 0.595076 0.0517479 
2.1 0.518834 0.0206605 0.0548904 0.514317 -0.0259816 
2.4 0.441175 0.09806 0.126334 0.435446 -0.102229 
2.7 0.369279 0.17029 0.188908 0.36291 -0.173228 
3 0.305283 0.234962 0.239792 0.298722 -0.236665 
3.3 0.249854 0.290771 0.277436 0.243429 -0.291291 
3.6 0.202799 0.337198 0.301276 0.196731 -0.336626 
3.9 0.163463 0.374279 0.311494 0.157887 -0.372734 
4.2 0.130977 0.402425 0.308826 0.125963 -0.400045 
4.5 0.104411 0.422291 0.294402 0.099981 -0.419223 
4.8 0.0828644 0.434674 0.269611 0.0790056 -0.43107 
5.1 0.065507 0.440442 0.236 0.0621868 -0.436451 
5.4 0.0516062 0.440479 0.195189 0.0487791 -0.436247 
5.7 0.0405297 0.435647 0.148807 0.038144 -0.431313 
6 0.0317425 0.426765 0.0984375 0.029745 -0.422457 
6.3 0.0247983 0.414589 0.0455863 0.0231374 -0.410427 
6.6 0.0193293 0.399805 -0.0083491 0.0179569 -0.3959 
6.9 0.0150353 0.383025 -0.0620968 0.0139074 -0.379476 
7.2 0.0116731 0.364787 -0.114522 0.0107508 -0.361685 
7.5 0.009047 0.345558 -0.164632 0.00829627 -0.342985 
7.8 0.00700049 0.325735 -0.211579 0.00639187 -0.323764 
8.1 0.0054089 0.305653 -0.254657 0.00491733 -0.304353 
8.4 0.00417342 0.285589 -0.293294 0.00377777 -0.285021 
8.7 0.00321604 0.265768 -0.327051 0.00289859 -0.265992 
9 0.00247532 0.24637 -0.355606 0.00222138 -0.24744 
9.3 0.00190308 0.227535 -0.378752 0.00170049 -0.229505 
9.6 0.00146159 0.209365 -0.396381 0.00130039 -0.212288 
9.9 0.0011214 0.191935 -0.408474 0.000993459 -0.195866 
10.2 0.000859579 0.175291 -0.415097 0.000758275 -0.180288 
10.5 0.000658283 0.15946 -0.416381 0.000578265 -0.165584 
10.8 0.000503671 0.144448 -0.41252 0.000440629 -0.151765 
11.1 0.000385019 0.130247 -0.403759 0.000335494 -0.138831 
11.4 0.000294029 0.116836 -0.390383 0.000255257 -0.126768 
11.7 0.000224288 0.104183 -0.372713 0.000194075 -0.115555 
12 0.000170848 0.0922493 -0.351092 0.000147461 -0.105165 
12.3 0.000129891 0.080987 -0.325886 0.000111973 -0.0955622 
12.6 9.84711e-05 0.070344 -0.29747 8.49748e-05 -0.0867114 
12.9 7.43159e-05 0.0602634 -0.266229 6.44497e-05 -0.0785727 
13.2 5.56682e-05 0.0506847 -0.232548 4.88559e-05 -0.0711055 
13.5 4.11635e-05 0.0415442 -0.196809 3.70159e-05 -0.0642686 
13.8 2.97349e-05 0.0327754 -0.159388 2.80314e-05 -0.0580209 
14.1 2.0537e-05 0.0243094 -0.120651 2.12176e-05 -0.0523219 
14.4 1.28853e-05 0.0160747 -0.0809512 1.60528e-05 -0.0471323 
14.7 6.20736e-06 0.00799722 -0.0406271 1.214e-05 -0.0424142 
